a|\ˈā\
maupassant|\ˌmō-pə-ˈsäⁿ\
mauritania|\mȯ-rē-tä-ˈnē\
mauritanian|\ˌmȯr-ə-ˈtā-nē-ə, ˌmär-, -nyə\
mausolea|\ˌmȯ-sə-ˈlē-əm, ˌmȯ-zə-\
mausoleum|\ˌmȯ-sə-ˈlē-əm, ˌmȯ-zə-\
mausoleums|\ˌmȯ-sə-ˈlē-əm, ˌmȯ-zə-\
mauve|\ˈmȯv, ˈmōv\
mauves|\ˈmȯv, ˈmōv\
maven|\ˈmā-vən\
mavens|\ˈmā-vən\
maverick|\ˈmav-rik, ˈma-və-\
mavericks|\ˈmav-rik, ˈma-və-\
mavin|\ˈmā-vən\
mavins|\ˈmā-vən\
maw|\ˈmȯ\
mawkish|\ˈmȯ-kish\
mawkishly|\ˈmȯ-kish\
mawkishness|\ˈmȯ-kish\
maws|\ˈmȯ\
max|\ˈmaks\
maxi|\ˈmak-sē\
maxilla|\mak-ˈsi-lə\
maxillae|\mak-ˈsi-lə\
maxillary|\mak-ˈsi-lə\
maxim|\ˈmak-səm\
maxima|\ˈmak-s(ə-)məm\
maximal|\ˈmak-s(ə-)məl\
maximally|\ˈmak-s(ə-)məl\
maximin|\ˈmak-sə-ˌmin\
maximins|\ˈmak-sə-ˌmin\
maximization|\ˈmak-sə-ˌmīz\
maximize|\ˈmak-sə-ˌmīz\
maximized|\ˈmak-sə-ˌmīz\
maximizer|\ˈmak-sə-ˌmīz\
maximizers|\ˈmak-sə-ˌmīz\
maximizes|\ˈmak-sə-ˌmīz\
maximizing|\ˈmak-sə-ˌmīz\
maxims|\ˈmak-səm\
maximum|\ˈmak-s(ə-)məm\
maximums|\ˈmak-s(ə-)məm\
maxis|\ˈmak-sē\
maxixe|\mə-ˈshēsh, -ˈshē-shə\
maxwell|\ˈmaks-ˌwel, -wəl\
maxwells|\ˈmaks-ˌwel, -wəl\
may|\ˈmā\
maya|\ˈmä-yə, ˈmī-ə\
mayan|\ˈmī-ən\
mayans|\ˈmī-ən\
mayapple|\ˈmā-ˌa-pəl\
mayapples|\ˈmā-ˌa-pəl\
mayas|\ˈmä-yə, ˈmī-ə\
maybe|\ˈmā-bē also ˈme-\
mayday|\ˈmā-ˌdā\
maydays|\ˈmā-ˌdā\
mayest|\ˈmā-əst, ˈmāst\
mayflies|\ˈmā-ˌflī\
mayflower|\ˈmā-ˌflau̇(-ə)r\
mayflowers|\ˈmā-ˌflau̇(-ə)r\
mayfly|\ˈmā-ˌflī\
mayhap|\ˈmā-ˌhap, mā-ˈ\
mayhem|\ˈmā-ˌhem, ˈmā-əm\
mayhems|\ˈmā-ˌhem, ˈmā-əm\
maying|\ˈmā-iŋ\
mayings|\ˈmā-iŋ\
mayo|\ˈmā-(ˌ)ō\
mayonnaise|\ˈmā-ə-ˌnāz, ˌmā-ə-ˈ\
mayor|\ˈmā-ər, ˈmer, especially before names (ˌ)mer\
mayoral|\ˈmā-ər, ˈmer, especially before names (ˌ)mer\
mayoralties|\ˈmā-ə-rəl-tē, ˈmer-əl-\
mayoralty|\ˈmā-ə-rəl-tē, ˈmer-əl-\
mayoress|\ˈmā-ə-rəs, ˈmer-əs\
mayoresses|\ˈmā-ə-rəs, ˈmer-əs\
mayors|\ˈmā-ər, ˈmer, especially before names (ˌ)mer\
maypole|\ˈmā-ˌpōl\
maypoles|\ˈmā-ˌpōl\
maypop|\ˈmā-ˌpäp\
maypops|\ˈmā-ˌpäp\
mays|\ˈmāz\
mayst|\ˈmā-əst, ˈmāst\
maze|\ˈmāz\
mazed|\ˈmāz\
mazel|\ˈmä-zəl-ˌtȯv, -ˌtȯf\
mazer|\ˈmā-zər\
mazers|\ˈmā-zər\
mazes|\ˈmāz\
mazier|\ˈmā-zē\
maziest|\ˈmā-zē\
mazing|\ˈmāz\
mazurka|\mə-ˈzər-kə, -ˈzu̇r-\
mazurkas|\mə-ˈzər-kə, -ˈzu̇r-\
mazy|\ˈmā-zē\
mc|\ˌem-ˈsē\
me|\ˈmē\
mead|\ˈmēd\
meadow|\ˈme-(ˌ)dō\
meadowland|\ˈme-dō-ˌland, -də-\
meadowlands|\ˈme-dō-ˌland, -də-\
meadowlark|\ˈme-dō-ˌlärk, -də-\
meadowlarks|\ˈme-dō-ˌlärk, -də-\
meadows|\ˈme-(ˌ)dō\
meadowsweet|\ˈme-dō-ˌswēt, -də-\
meadowsweets|\ˈme-dō-ˌswēt, -də-\
meadowy|\ˈme-(ˌ)dō\
meads|\ˈmēd\
meager|\ˈmē-gər\
meagerly|\ˈmē-gər\
meagerness|\ˈmē-gər\
meal|\ˈmēl\
mealie|\ˈmē-lē\
mealier|\ˈmē-lē\
mealies|\ˈmē-lē\
mealiest|\ˈmē-lē\
meals|\ˈmēl\
mealtime|\ˈmēl-ˌtīm\
mealtimes|\ˈmēl-ˌtīm\
mealworm|\-ˌwərm\
mealworms|\-ˌwərm\
mealy|\ˈmē-lē\
mealybug|\ˈmē-lē-ˌbəg\
mealybugs|\ˈmē-lē-ˌbəg\
mealymouthed|\ˈmē-lē-ˌmau̇thd, -ˌmau̇tht\
mean|\ˈmēn\
meander|\mē-ˈan-dər\
meandered|\mē-ˈan-dər\
meandering|\mē-ˈan-dər\
meanders|\mē-ˈan-dər\
meaner|\ˈmēn\
meaners|\ˈmēn\
meanest|\ˈmēn\
meanie|\ˈmē-nē\
meanies|\ˈmē-nē\
meaning|\ˈmē-niŋ\
meaningful|\-fəl\
meaningfully|\-fəl\
meaningfulness|\-fəl\
meaningless|\ˈmē-niŋ-ləs\
meanings|\ˈmē-niŋ\
meanly|\ˈmēn-lē\
meanness|\ˈmēn\
means|\ˈmēn\
meanspirited|\ˈmēn-ˈspir-ə-təd, ˌmēn-\
meant|\ˈmēn\
meantime|\ˈmēn-ˌtīm\
meantimes|\ˈmēn-ˌtīm\
meanwhile|\ˈmēn-ˌhwī(-ə)l, -ˌwī(-ə)l\
meany|\ˈmē-nē\
measle|\ˈmē-zəl\
measles|\ˈmē-zəlz\
measlier|\ˈmēz-lē, ˈmē-zə-\
measliest|\ˈmēz-lē, ˈmē-zə-\
measly|\ˈmēz-lē, ˈmē-zə-\
measurability|\ˈme-zhər, ˈmā-\
measurable|\ˈme-zhər, ˈmā-\
measurably|\ˈme-zhər, ˈmā-\
measure|\ˈme-zhər, ˈmā-\
measureless|\-zhər-ləs\
measurement|\ˈme-zhər-mənt, ˈmā-\
measurements|\ˈme-zhər-mənt, ˈmā-\
measurer|\ˈme-zhər, ˈmā-\
measurers|\ˈme-zhər, ˈmā-\
measures|\ˈme-zhər, ˈmā-\
measuring|\ˈme-zhər, ˈmā-\
meat|\ˈmēt\
meatball|\-ˌbȯl\
meatballs|\-ˌbȯl\
meathead|\-ˌhed\
meatheads|\-ˌhed\
meatier|\ˈmē-tē\
meatiest|\ˈmē-tē\
meatiness|\ˈmē-tē\
meatless|\ˈmēt\
meats|\ˈmēt\
meaty|\ˈmē-tē\
mecca|\ˈme-kə\
meccas|\ˈme-kə\
mechanic|\mi-ˈka-nik\
mechanical|\mi-ˈka-ni-kəl\
mechanically|\mi-ˈka-ni-kəl\
mechanics|\mi-ˈka-niks\
mechanism|\ˈme-kə-ˌni-zəm\
mechanisms|\ˈme-kə-ˌni-zəm\
mechanist|\-nist\
mechanistic|\ˌme-kə-ˈnis-tik\
mechanistically|\ˌme-kə-ˈnis-tik\
mechanists|\-nist\
mechanization|\ˈme-kə-ˌnīz\
mechanize|\ˈme-kə-ˌnīz\
mechanized|\ˈme-kə-ˌnīz\
mechanizer|\ˈme-kə-ˌnīz\
mechanizers|\ˈme-kə-ˌnīz\
mechanizes|\ˈme-kə-ˌnīz\
mechanizing|\ˈme-kə-ˌnīz\
mechanoreception|\-ri-ˈsep-tər\
mechanoreceptive|\-ri-ˈsep-tər\
mechanoreceptor|\-ri-ˈsep-tər\
mecum|\ˌvā-dē-ˈmē-kəm, ˌvä-dē-ˈmā-\
mecums|\ˌvā-dē-ˈmē-kəm, ˌvä-dē-ˈmā-\
medal|\ˈme-dəl\
medaled|\ˈme-dəl\
medalist|\ˈme-dəl-ist\
medalists|\ˈme-dəl-ist\
medalling|\ˈme-dəl\
medallion|\mə-ˈdal-yən\
medallions|\mə-ˈdal-yən\
medals|\ˈme-dəl\
meddle|\ˈme-dəl\
meddled|\ˈme-dəl\
meddler|\ˈme-dəl\
meddlers|\ˈme-dəl\
meddles|\ˈme-dəl\
meddlesome|\ˈme-dəl-səm\
meddling|\ˈme-dəl\
medevac|\ˈme-də-ˌvak, -dē-\
medevacs|\ˈme-də-ˌvak, -dē-\
media|\ˈmē-dē-ə\
mediacy|\ˈmē-dē-ət\
medial|\ˈmē-dē-əl\
medially|\ˈmē-dē-əl\
medials|\ˈmē-dē-əl\
median|\ˈmē-dē-ən\
medianly|\ˈmē-dē-ən\
medians|\ˈmē-dē-ən\
medias|\ˈmē-dē-ə\
mediate|\ˈmē-dē-ət\
mediated|\ˈmē-dē-ət\
mediately|\ˈmē-dē-ət\
mediates|\ˈmē-dē-ət\
mediating|\ˈmē-dē-ət\
mediation|\ˌmē-dē-ˈā-shən\
mediational|\ˌmē-dē-ˈā-shən\
mediative|\ˈmē-dē-ət\
mediator|\ˈmē-dē-ˌā-tər\
mediators|\ˈmē-dē-ˌā-tər\
medic|\ˈme-dik\
medicable|\ˈme-di-kə-bəl\
medicaid|\ˈme-di-ˌkād\
medical|\ˈme-di-kəl\
medically|\ˈme-di-kəl\
medicals|\-k(ə-)lē\
medicament|\mi-ˈdi-kə-mənt, ˈme-di-kə-\
medicaments|\mi-ˈdi-kə-mənt, ˈme-di-kə-\
medicare|\ˈme-di-ˌker\
medicate|\ˈme-də-ˌkāt\
medicated|\ˈme-də-ˌkāt\
medicates|\ˈme-də-ˌkāt\
medicating|\ˈme-də-ˌkāt\
medication|\ˌme-də-ˈkā-shən\
medications|\ˌme-də-ˈkā-shən\
medicinable|\mi-ˈdis-nə-bəl, -ˈdi-sə-nə-; in Shak ˈmed-sə-nə-\
medicinal|\mə-ˈdis-nəl, -ˈdi-sən-əl; in Shak &amp; Milton ˌme-di-ˈsī-nəl &amp; ˈmed-sə-nəl\
medicinally|\mə-ˈdis-nəl, -ˈdi-sən-əl; in Shak &amp; Milton ˌme-di-ˈsī-nəl &amp; ˈmed-sə-nəl\
medicine|\ˈme-də-sən, British usually ˈmed-sən\
medicined|\ˈme-də-sən, British usually ˈmed-sən\
medicines|\ˈme-də-sən, British usually ˈmed-sən\
medicining|\ˈme-də-sən, British usually ˈmed-sən\
medico|\ˈme-di-ˌkō\
medicos|\ˈme-di-ˌkō\
medics|\ˈme-dik\
medieval|\ˌmē-ˈdē-vəl, mi-, ˌme-, -dē-ˈē-vəl\
medievalism|\-və-ˌli-zəm\
medievalist|\-ˈdēv-list, -ˈdē-və-, -dē-ˈēv-, -dē-ˈē-və-\
medievalists|\-ˈdēv-list, -ˈdē-və-, -dē-ˈēv-, -dē-ˈē-və-\
medievally|\ˌmē-ˈdē-vəl, mi-, ˌme-, -dē-ˈē-vəl\
medievals|\ˌmē-ˈdē-vəl, mi-, ˌme-, -dē-ˈē-vəl\
mediocre|\ˌmē-dē-ˈō-kər\
mediocrities|\ˌmē-dē-ˈä-krə-tē\
mediocrity|\ˌmē-dē-ˈä-krə-tē\
meditate|\ˈme-də-ˌtāt\
meditated|\ˈme-də-ˌtāt\
meditates|\ˈme-də-ˌtāt\
meditating|\ˈme-də-ˌtāt\
meditation|\ˌme-də-ˈtā-shən\
meditations|\ˌme-də-ˈtā-shən\
meditative|\ˈme-də-ˌtā-tiv\
meditatively|\ˈme-də-ˌtā-tiv\
mediterranean|\ˌme-də-tə-ˈrā-nē-ən, -nyən\
medium|\ˈmē-dē-əm\
mediumistic|\ˌmē-dē-ə-ˈmis-tik\
mediums|\ˈmē-dē-əm\
medlars|\ˈmed-lər\
medley|\ˈmed-lē\
medleys|\ˈmed-lē\
medulla|\mə-ˈdə-lə\
medullae|\mə-ˈdə-lə\
medullary|\ˈme-də-ˌler-ē, ˈme-jə-; mə-ˈdə-lə-rē\
medullas|\mə-ˈdə-lə\
medusa|\mi-ˈdü-sə, -ˈdyü-, -zə\
medusan|\mi-ˈdü-sə, -ˈdyü-, -zə\
medusas|\mi-ˈdü-sə, -ˈdyü-, -zə\
medusoid|\mi-ˈdü-sə, -ˈdyü-, -zə\
medusoids|\mi-ˈdü-sə, -ˈdyü-, -zə\
meed|\ˈmēd\
meeds|\ˈmēd\
meek|\ˈmēk\
meeker|\ˈmēk\
meekest|\ˈmēk\
meekly|\ˈmēk\
meekness|\ˈmēk\
meerschaum|\ˈmir-shəm, -ˌshȯm\
meerschaums|\ˈmir-shəm, -ˌshȯm\
meet|\ˈmēt\
meeter|\ˈmēt\
meeters|\ˈmēt\
meetinghouse|\-ˌhau̇s\
meetly|\ˈmēt\
meets|\ˈmēt\
meg|\ˈmeg\
megabar|\ˈme-gə-ˌbär\
megabit|\-ˌbit\
megabits|\-ˌbit\
megabuck|\-ˌbək\
megabucks|\-ˌbək\
megabyte|\-ˌbīt\
megabytes|\-ˌbīt\
megacycle|\ˈme-gə-ˌsī-kəl\
megacycles|\ˈme-gə-ˌsī-kəl\
megadeath|\-ˌdeth\
megadeaths|\-ˌdeth\
megahertz|\ˈme-gə-ˌhərts, -ˌherts\
megakaryocytic|\ˌme-gə-ˈka-rē-ō-ˌsīt\
megalith|\ˈme-gə-ˌlith\
megalithic|\ˈme-gə-ˌlith\
megaliths|\ˈme-gə-ˌlith\
megalomania|\ˌme-gə-lō-ˈmā-nē-ə, -nyə\
megalomaniac|\ˌme-gə-lō-ˈmā-nē-ə, -nyə\
megalomaniacal|\ˌme-gə-lō-ˈmā-nē-ə, -nyə\
megalomaniacally|\ˌme-gə-lō-ˈmā-nē-ə, -nyə\
megalomaniacs|\ˌme-gə-lō-ˈmā-nē-ə, -nyə\
megalopolis|\ˌme-gə-ˈlä-pə-ləs\
megalopolises|\ˌme-gə-ˈlä-pə-ləs\
megaphone|\ˈme-gə-ˌfōn\
megaphones|\ˈme-gə-ˌfōn\
megaton|\ˈme-gə-ˌtən\
megatons|\ˈme-gə-ˌtən\
megavitamin|\ˌme-gə-ˈvī-tə-mən, British usually -ˈvi-\
megawatt|\ˈme-gə-ˌwät\
megawatts|\ˈme-gə-ˌwät\
megillah|\mə-ˈgi-lə\
megillahs|\mə-ˈgi-lə\
megohm|\ˈmeg-ˌōm\
megohms|\ˈmeg-ˌōm\
mein|\ˈchau̇-ˈmān\
meioses|\mī-ˈō-səs\
meiosis|\mī-ˈō-səs\
meiotic|\mī-ˈō-səs\
mekong|\ˈmā-ˈkȯŋ, -ˈkäŋ; ˈmā-ˌ\
melamine|\ˈme-lə-ˌmēn\
melamines|\ˈme-lə-ˌmēn\
melancholia|\ˌme-lən-ˈkō-lē-ə\
melancholiac|\ˌme-lən-ˈkō-lē-ə\
melancholiacs|\ˌme-lən-ˈkō-lē-ə\
melancholic|\ˌme-lən-ˈkä-lik\
melancholies|\ˈme-lən-ˌkä-lē\
melancholy|\ˈme-lən-ˌkä-lē\
melanesia|\ˌme-lə-ˈnē-zhə, -shə\
melanesian|\ˌme-lə-ˈnē-zhən, -shən\
melanesians|\ˌme-lə-ˈnē-zhən, -shən\
melange|\mā-ˈläⁿzh, -ˈlänj\
melanges|\mā-ˈläⁿzh, -ˈlänj\
melanic|\mə-ˈla-nik\
melanin|\ˈme-lə-nən\
melanins|\ˈme-lə-nən\
melanism|\ˈme-lə-ˌni-zəm\
melanisms|\ˈme-lə-ˌni-zəm\
melanites|\ˈme-lə-ˌnīt\
melanized|\ˈme-lə-ˌnīz\
melanizes|\ˈme-lə-ˌnīz\
melanocarcinoma|\-mət-ə\
melanoma|\ˌme-lə-ˈnō-mə\
melanomas|\ˌme-lə-ˈnō-mə\
melanomata|\ˌme-lə-ˈnō-mə\
melanophore|\mə-ˈla-nə-ˌfȯr, ˈme-lə-nə-\
melanotic|\ˌme-lə-ˈnä-tik\
melba|\ˈmel-bə\
melbourne|\ˈmel-bərn\
melchizedek|\mel-ˈki-zə-ˌdek\
meld|\ˈmeld\
melded|\ˈmeld\
melding|\ˈmeld\
melds|\ˈmeld\
melee|\ˈmā-ˌlā, mā-ˈ\
melees|\ˈmā-ˌlā, mā-ˈ\
meliorate|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
meliorated|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
meliorates|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
meliorating|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
melioration|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
meliorations|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
meliorative|\ˈmēl-yə-ˌrāt, ˈmē-lē-ə-\
mellifluent|\me-ˈli-flə-wənt\
mellifluous|\me-ˈli-flə-wəs, mə-\
mellifluously|\me-ˈli-flə-wəs, mə-\
mellitus|\-ˈme-lə-təs\
mellow|\ˈme-(ˌ)lō\
mellowed|\ˈme-(ˌ)lō\
mellower|\ˈme-(ˌ)lō\
mellowest|\ˈme-(ˌ)lō\
mellowing|\ˈme-(ˌ)lō\
mellowly|\ˈme-(ˌ)lō\
mellowness|\ˈme-(ˌ)lō\
mellows|\ˈme-(ˌ)lō\
melodeon|\mə-ˈlō-dē-ən\
melodeons|\mə-ˈlō-dē-ən\
melodic|\ˈme-lə-dē\
melodically|\ˈme-lə-dē\
melodies|\ˈme-lə-dē\
melodious|\mə-ˈlō-dē-əs\
melodiously|\mə-ˈlō-dē-əs\
melodiousness|\mə-ˈlō-dē-əs\
melodist|\ˈme-lə-dist\
melodists|\ˈme-lə-dist\
melodize|\ˈme-lə-ˌdīz\
melodized|\ˈme-lə-ˌdīz\
melodizes|\ˈme-lə-ˌdīz\
melodizing|\ˈme-lə-ˌdīz\
melodrama|\ˈme-lə-ˌdrä-mə, -ˌdra-\
melodramas|\ˈme-lə-ˌdrä-mə, -ˌdra-\
melodramatic|\ˌme-lə-drə-ˈma-tik\
melodramatically|\ˌme-lə-drə-ˈma-tik\
melodramatics|\-tiks\
melodramatist|\ˈme-lə-ˌdrä-mə, -ˌdra-\
melodramatists|\ˈme-lə-ˌdrä-mə, -ˌdra-\
melody|\ˈme-lə-dē\
melon|\ˈme-lən\
melons|\ˈme-lən\
melt|\ˈmelt\
meltable|\ˈmelt\
meltdown|\ˈmelt-ˌdau̇n\
meltdowns|\ˈmelt-ˌdau̇n\
melted|\ˈmelt\
melter|\ˈmelt\
melting|\ˈmel-tiŋ\
meltingly|\ˈmel-tiŋ\
melton|\ˈmel-tən\
meltons|\ˈmel-tən\
melts|\ˈmelt\
meltwater|\ˈmelt-ˌwȯ-tər, -ˌwä-\
member|\ˈmem-bər\
membered|\ˈmem-bərd\
members|\ˈmem-bər\
membership|\ˈmem-bər-ˌship\
memberships|\ˈmem-bər-ˌship\
membrane|\ˈmem-ˌbrān\
membranes|\ˈmem-ˌbrān\
membranous|\ˈmem-brə-nəs\
membranously|\ˈmem-brə-nəs\
memento|\mə-ˈmen-(ˌ)tō, ÷mō-\
mementoes|\mə-ˈmen-(ˌ)tō, ÷mō-\
mementos|\mə-ˈmen-(ˌ)tō, ÷mō-\
memo|\ˈme-(ˌ)mō\
memoir|\ˈmem-ˌwär, -ˌwȯr\
memoirs|\ˈmem-ˌwär, -ˌwȯr\
memorabilia|\ˌme-mə-rə-ˈbi-lē-ə, -ˈbē-lē-ə, -ˈbil-yə\
memorability|\-ˈbi-lə-tē\
memorable|\ˈmem-rə-bəl, ˈmə-mə-rə-, ˈme-mər-\
memorableness|\ˈmem-rə-bəl, ˈmə-mə-rə-, ˈme-mər-\
memorably|\ˈmem-rə-bəl, ˈmə-mə-rə-, ˈme-mər-\
memoranda|\ˌme-mə-ˈran-dəm\
memorandum|\ˌme-mə-ˈran-dəm\
memorandums|\ˌme-mə-ˈran-dəm\
memorial|\mə-ˈmȯr-ē-əl\
memorialist|\mə-ˈmȯr-ē-ə-list\
memorialize|\-ˌlīz\
memorialized|\-ˌlīz\
memorializes|\-ˌlīz\
memorializing|\-ˌlīz\
memorials|\mə-ˈmȯr-ē-əl\
memories|\ˈmem-rē, ˈme-mə-\
memorization|\ˈme-mə-ˌrīz\
memorize|\ˈme-mə-ˌrīz\
memorized|\ˈme-mə-ˌrīz\
memorizer|\ˈme-mə-ˌrīz\
memorizers|\ˈme-mə-ˌrīz\
memorizes|\ˈme-mə-ˌrīz\
memorizing|\ˈme-mə-ˌrīz\
memory|\ˈmem-rē, ˈme-mə-\
memos|\ˈme-(ˌ)mō\
memphis|\ˈmem(p)-fəs\
memsahib|\ˈmem-ˌsä-ˌ(h)ib, -ˌsäb\
memsahibs|\ˈmem-ˌsä-ˌ(h)ib, -ˌsäb\
menace|\ˈme-nəs\
menaced|\ˈme-nəs\
menaces|\ˈme-nəs\
menacing|\ˈme-nəs\
menacingly|\ˈme-nəs\
menage|\mā-ˈnäzh, mə-\
menagerie|\mə-ˈnaj-rē, -ˈna-jə- also -ˈnazh-rē, -ˈna-zhə-\
menageries|\mə-ˈnaj-rē, -ˈna-jə- also -ˈnazh-rē, -ˈna-zhə-\
menages|\mā-ˈnäzh, mə-\
menarche|\ˈme-ˌnär-kē\
menarches|\ˈme-ˌnär-kē\
mend|\ˈmend\
mendable|\ˈmend\
mendacious|\men-ˈdā-shəs\
mendaciously|\men-ˈdā-shəs\
mendacities|\men-ˈda-sə-tē\
mendacity|\men-ˈda-sə-tē\
mended|\ˈmend\
mendel|\ˈmen-dəl\
mendelevium|\ˌmen-də-ˈlē-vē-əm, -ˈlā-\
mendelian|\men-ˈdē-lē-ən, -ˈdēl-yən\
mendelianist|\-əst\
mendelism|\ˈmen-dəl-ˌi-zəm\
mendelist|\ˈmen-dəl-ˌi-zəm\
mendelssohn|\ˈmen-dəl-sən\
mender|\ˈmend\
menders|\ˈmend\
mendicancies|\ˈmen-di-kən(t)-sē\
mendicancy|\ˈmen-di-kən(t)-sē\
mendicant|\ˈmen-di-kənt\
mendicants|\ˈmen-di-kənt\
mending|\ˈmend\
mendings|\ˈfen(t)s-ˌmen-diŋ\
mends|\ˈmend\
menfolk|\ˈmen-ˌfōk\
menfolks|\ˈmen-ˌfōk\
menhaden|\men-ˈhā-dən, mən-\
menhadens|\men-ˈhā-dən, mən-\
menhir|\ˈmen-ˌhir\
menhirs|\ˈmen-ˌhir\
menial|\ˈmē-nē-əl, -nyəl\
menially|\ˈmē-nē-əl, -nyəl\
menials|\ˈmē-nē-əl, -nyəl\
meningeal|\ˌme-nən-ˈjē-əl\
meningitic|\ˌme-nən-ˈjī-təs\
meningitis|\ˌme-nən-ˈjī-təs\
meninx|\ˈmē-niŋ(k)s, ˈme-\
menisci|\mə-ˈnis-kəs\
meniscus|\mə-ˈnis-kəs\
meniscuses|\mə-ˈnis-kəs\
mennonite|\ˈme-nə-ˌnīt\
mennonites|\ˈme-nə-ˌnīt\
menopausal|\ˈme-nə-ˌpȯz, ˈmē-\
menopause|\ˈme-nə-ˌpȯz, ˈmē-\
menorah|\mə-ˈnȯr-ə\
menorahs|\mə-ˈnȯr-ə\
mensal|\ˈmen(t)-səl\
mensch|\ˈmen(t)sh\
mensches|\ˈmen(t)sh\
menservants|\ˈman-ˌsər-vənt\
menses|\ˈmen-(ˌ)sēz\
menstrual|\ˈmen(t)-strü-əl, -strəl\
menstruate|\ˈmen(t)-strü-ˌwāt, ˈmen-ˌstrāt\
menstruated|\ˈmen(t)-strü-ˌwāt, ˈmen-ˌstrāt\
menstruates|\ˈmen(t)-strü-ˌwāt, ˈmen-ˌstrāt\
menstruating|\ˈmen(t)-strü-ˌwāt, ˈmen-ˌstrāt\
menstruation|\ˌmen(t)-strü-ˈwā-shən, men-ˈstrā-\
menstruations|\ˌmen(t)-strü-ˈwā-shən, men-ˈstrā-\
menstruum|\ˈmen(t)-strü-əm, -strəm\
mensurability|\ˈmen(t)s-rə-bəl, ˈmen(t)sh-; ˈmen(t)-sə-rə-, -shə-\
mensurable|\ˈmen(t)s-rə-bəl, ˈmen(t)sh-; ˈmen(t)-sə-rə-, -shə-\
mensural|\ˈmen(t)s-rəl, ˈmen(t)sh-; ˈmen(t)-sə-rəl, -shə-\
mensuration|\ˌmen(t)-sə-ˈrā-shən, -shə-\
menswear|\ˈmenz-ˌwer\
menswears|\ˈmenz-ˌwer\
mental|\ˈmen-təl\
mentalist|\ˈmen-tə-list\
mentalists|\ˈmen-tə-list\
mentalities|\men-ˈta-lə-tē\
mentality|\men-ˈta-lə-tē\
mentally|\ˈmen-təl\
mentation|\men-ˈtā-shən\
menthe|\ˈkrem-də-ˈmen(t)th, ˈkrēm-, -ˈmint, ˈkrem-də-ˈmänt\
menthol|\ˈmen-ˌthȯl, -ˌthōl\
mentholated|\ˈmen(t)-thə-ˌlā-təd\
menthols|\ˈmen-ˌthȯl, -ˌthōl\
mention|\ˈmen(t)-shən\
mentionable|\ˈmen(t)-shən\
mentioned|\ˈmen(t)-shən\
mentioner|\ˈmen(t)-shən\
mentioners|\ˈmen(t)-shən\
mentioning|\ˈmen(t)-shən\
mentions|\ˈmen(t)-shən\
mentis|\ˈkäm-pəs-ˈmen-təs\
mentor|\ˈmen-ˌtȯr, -tər\
mentors|\ˈmen-ˌtȯr, -tər\
menu|\ˈmen-(ˌ)yü, ˈmān-\
menus|\ˈmen-(ˌ)yü, ˈmān-\
meow|\mē-ˈau̇\
meowed|\mē-ˈau̇\
meowing|\mē-ˈau̇\
meows|\mē-ˈau̇\
mephistopheles|\ˌme-fə-ˈstä-fə-ˌlēz\
mephitic|\mə-ˈfi-tik\
mephitis|\mə-ˈfī-təs\
meprobamate|\ˌme-prō-ˈba-ˌmāt\
mercantile|\ˈmər-kən-ˌtēl, -ˌtī(-ə)l\
mercantilism|\-ˌtē-ˌli-zəm, -ˌtī-, -tə-\
mercantilistic|\-ˌtē-ˌli-zəm, -ˌtī-, -tə-\
mercaptan|\(ˌ)mər-ˈkap-ˌtan\
mercenaries|\ˈmər-sə-ˌner-ē, -ne-rē\
mercenarily|\ˈmər-sə-ˌner-ē, -ne-rē\
mercenariness|\ˈmər-sə-ˌner-ē, -ne-rē\
mercenary|\ˈmər-sə-ˌner-ē, -ne-rē\
mercer|\ˈmər-sər\
mercerize|\ˈmər-sə-ˌrīz\
mercerized|\ˈmər-sə-ˌrīz\
mercerizes|\ˈmər-sə-ˌrīz\
mercerizing|\ˈmər-sə-ˌrīz\
mercers|\ˈmər-sər\
mercery|\ˈmərs-rē, ˈmər-sə-\
merchandise|\ˈmər-chən-ˌdīz, -ˌdīs\
merchandised|\ˈmər-chən-ˌdīz, -ˌdīs\
merchandiser|\ˈmər-chən-ˌdīz, -ˌdīs\
merchandisers|\ˈmər-chən-ˌdīz, -ˌdīs\
merchandises|\ˈmər-chən-ˌdīz, -ˌdīs\
merchandized|\ˈmər-chən-ˌdīz, -ˌdīs\
merchant|\ˈmər-chənt\
merchantability|\ˈmər-chən-tə-bəl\
merchantable|\ˈmər-chən-tə-bəl\
merchanted|\ˈmər-chənt\
merchantman|\ˈmər-chənt-mən\
merchantmen|\ˈmər-chənt-mən\
merchants|\ˈmər-chənt\
merci|\lä-bel-dȧm-säⁿ-mer-sē\
mercies|\ˈmər-sē\
merciful|\ˈmər-si-fəl\
mercifully|\-f(ə-)lē\
mercifulness|\ˈmər-si-fəl\
merciless|\ˈmər-si-ləs\
mercilessly|\ˈmər-si-ləs\
mercurial|\(ˌ)mər-ˈkyu̇r-ē-əl\
mercurially|\(ˌ)mər-ˈkyu̇r-ē-əl\
mercurialness|\(ˌ)mər-ˈkyu̇r-ē-əl\
